Gene,T-stat,p-value,p-adj,-log10(p),-log10(p-adj),log2FC,Gene_clean,query,symbol
ENSG00000229619.3,2.218071584158128,0.0367035448492429,,1.4352919893141316,,0.6531805211540097,ENSG00000229619,ENSG00000229619,MBNL1-AS1
ENSG00000106809.10,-2.217903134028127,0.0367165328016298,,1.4351383366269597,,-0.6420681151077303,ENSG00000106809,ENSG00000106809,OGN
ENSG00000230682.1,-2.21783485957909,0.0367217981310352,,1.4350760611508966,,-1.900788496812736,ENSG00000230682,ENSG00000230682,GRPEL2P3
ENSG00000250125.1,-2.217651864979002,0.0367359140657887,,1.434909149537058,,-0.6721575381085522,ENSG00000250125,ENSG00000250125,LINC02232
ENSG00000175544.13,-2.2174553603892164,0.0367510776256514,,1.434729921885571,,-1.413359986148125,ENSG00000175544,ENSG00000175544,CABP4
ENSG00000103222.18,2.2165472172826224,0.0368212296250359,,1.4339017125606524,,1.1369132437956728,ENSG00000103222,ENSG00000103222,ABCC1
ENSG00000254674.1,-2.215940537743277,0.0368681619421832,,1.4333485135537816,,-1.7028418236365184,ENSG00000254674,ENSG00000254674,OR4A42P
ENSG00000176531.10,-2.215656483119117,0.0368901548707044,,1.433089521532449,,-0.7047025017846785,ENSG00000176531,ENSG00000176531,PHLDB3
ENSG00000250954.5,-2.2154053048300857,0.0369096122677319,,1.4328605170061564,,-1.1925617064532883,ENSG00000250954,ENSG00000250954,LOC101928622
ENSG00000260886.1,-2.214826189814989,0.0369545086110964,,1.4323325682172166,,-1.7964454219766697,ENSG00000260886,ENSG00000260886,TAT-AS1
ENSG00000235741.1,-2.2147096733059186,0.0369635476309118,,1.432226353399166,,-0.6741926719535378,ENSG00000235741,ENSG00000235741,LINC02784
ENSG00000128294.15,-2.2146197270404238,0.0369705267789028,,1.432144361286758,,-1.2370431681275544,ENSG00000128294,ENSG00000128294,TPST2
ENSG00000230987.2,-2.214497940227706,0.0369799784175756,,1.4320333466417066,,-0.7063566833076044,ENSG00000230987,ENSG00000230987,LOC647132
ENSG00000106089.11,2.2142949098956537,0.0369957400833456,,1.431848280387216,,1.1326158760463714,ENSG00000106089,ENSG00000106089,STX1A
ENSG00000261195.1,-2.2140714076769314,0.0370130980731481,,1.4316445620337286,,-1.511198311421878,ENSG00000261195,ENSG00000261195,IQCK-AS1
ENSG00000170953.2,-2.214020822721766,0.0370170277089783,,1.4315984559616255,,-1.208562749903321,ENSG00000170953,ENSG00000170953,OR8B12
ENSG00000236956.1,-2.213853991906144,0.0370299904581815,,1.4314463998587297,,-0.773429312154568,ENSG00000236956,ENSG00000236956,NF1P8
ENSG00000119514.6,-2.213828274035609,0.0370319891023126,,1.4314229600283943,,-0.7218211174270154,ENSG00000119514,ENSG00000119514,GALNT12
ENSG00000144583.4,-2.213775275552268,0.0370361081465741,,1.4313746564196403,,-1.3730693117642228,ENSG00000144583,ENSG00000144583,MARCHF4
ENSG00000176533.12,-2.2136738705284817,0.0370439905078365,,1.431282235754016,,-1.1057333793388089,ENSG00000176533,ENSG00000176533,GNG7
ENSG00000115665.8,-2.2135771168047635,0.0370515127357913,,1.431194055987078,,-0.753911330138411,ENSG00000115665,ENSG00000115665,SLC5A7
ENSG00000227738.1,-2.213433070961578,0.0370627143109842,,1.431062778025321,,-1.4160756016546596,ENSG00000227738,ENSG00000227738,PSMD14P1
ENSG00000283544.1,-2.213181611281655,0.0370822761759028,,1.4308336159435344,,-1.1669262961179931,ENSG00000283544,ENSG00000283544,LOC101930420
ENSG00000218502.3,-2.212866766997303,0.0371067821427341,,1.4305467055339187,,-1.6629121881729791,ENSG00000218502,ENSG00000218502,H2AZP3
ENSG00000182400.14,-2.212826390676402,0.0371099259044122,,1.4305099127850625,,-1.042403655234617,ENSG00000182400,ENSG00000182400,TRAPPC6B
ENSG00000218965.1,-2.2127597825179364,0.0371151126449769,,1.4304492170184049,,-0.8791496715448265,ENSG00000218965,ENSG00000218965,NACAP7
ENSG00000243720.1,-2.2121303516357105,0.0371641585651487,,1.429875695624374,,-1.7766031262233624,ENSG00000243720,ENSG00000243720,RPL21P127
ENSG00000176007.10,-2.212121861485305,0.0371648205283858,,1.4298679600955229,,-1.476763288736609,ENSG00000176007,ENSG00000176007,FAM220BP
ENSG00000089902.9,-2.2116083933435573,0.037204874697317,,1.4294001537888497,,-0.8874563483783765,ENSG00000089902,ENSG00000089902,RCOR1
ENSG00000234379.1,-2.211390481003717,0.0372218852443204,,1.429201634148007,,-1.1010746831611862,ENSG00000234379,ENSG00000234379,HMGB1P48
ENSG00000235329.2,-2.2113314537056663,0.0372264942133999,,1.4291478613229798,,-1.7881196409937476,ENSG00000235329,ENSG00000235329,
ENSG00000146521.9,-2.211250904821437,0.0372327844661145,,1.429074483710447,,-1.545899635116871,ENSG00000146521,ENSG00000146521,
ENSG00000255087.2,-2.2109751187427387,0.0372543285555974,,1.428823259597673,,-1.5066519401934708,ENSG00000255087,ENSG00000255087,LOC101929473
ENSG00000143543.14,-2.2109291996391662,0.0372579168008735,,1.4287814314359562,,-1.0031730678793005,ENSG00000143543,ENSG00000143543,JTB
ENSG00000258561.1,-2.2106031952784635,0.0372834006952812,,1.428484481622843,,-1.4249491811387238,ENSG00000258561,ENSG00000258561,
ENSG00000228999.2,-2.2104802712802543,0.0372930138188546,,1.4283725178988664,,-0.5561639933581218,ENSG00000228999,ENSG00000228999,LINC01830
ENSG00000259186.1,-2.2104802712802543,0.0372930138188546,,1.4283725178988664,,-0.5561639933581218,ENSG00000259186,ENSG00000259186,MRPS15P1
ENSG00000279762.3,-2.2104802712802543,0.0372930138188546,,1.4283725178988664,,-0.5561639933581218,ENSG00000279762,ENSG00000279762,
ENSG00000235813.1,-2.2104802712802543,0.0372930138188546,,1.4283725178988664,,-0.5561639933581218,ENSG00000235813,ENSG00000235813,
ENSG00000277997.1,-2.2104802712802543,0.0372930138188546,,1.4283725178988664,,-0.5561639933581218,ENSG00000277997,ENSG00000277997,
ENSG00000271947.1,-2.2104802712802543,0.0372930138188546,,1.4283725178988664,,-0.5561639933581218,ENSG00000271947,ENSG00000271947,
ENSG00000231987.1,-2.2104802712802543,0.0372930138188546,,1.4283725178988664,,-0.5561639933581218,ENSG00000231987,ENSG00000231987,LINC01787
ENSG00000215357.2,-2.210305443441116,0.037306689892819,,1.428213282855619,,-0.9559006064921772,ENSG00000215357,ENSG00000215357,HSPD1P8
ENSG00000244053.1,-2.2097025769081995,0.0373538845992961,,1.4276642272538522,,-1.0317753622420625,ENSG00000244053,ENSG00000244053,RPL13AP2
ENSG00000175745.11,-2.209668174759988,0.0373565793641059,,1.4276328977338533,,-1.068723033558219,ENSG00000175745,ENSG00000175745,NR2F1
ENSG00000230953.2,2.209623143861264,0.0373601069591683,,1.427591889087819,,1.325624025843636,ENSG00000230953,ENSG00000230953,
ENSG00000224905.6,-2.209353252699419,0.0373812558132009,,1.4273461127061915,,-1.321876999417131,ENSG00000224905,ENSG00000224905,LOC105377134
ENSG00000175213.2,2.209347892060244,0.0373816759864719,,1.427341231171221,,0.9079285530827976,ENSG00000175213,ENSG00000175213,ZNF408
ENSG00000214211.2,-2.209263657118702,0.0373882789838529,,1.4272645253517455,,-0.522747255758871,ENSG00000214211,ENSG00000214211,CTAGE14P
ENSG00000228013.1,-2.209109039016889,0.0374004019200785,,1.427123730667585,,-0.7968307742540676,ENSG00000228013,ENSG00000228013,IL6R-AS1
ENSG00000249305.1,-2.2090770899629666,0.0374029073515364,,1.4270946385039367,,-1.5817424456291664,ENSG00000249305,ENSG00000249305,
ENSG00000203356.2,-2.2089907728757687,0.0374096770626586,,1.427016040813041,,-0.9706205997306288,ENSG00000203356,ENSG00000203356,LINC01562
ENSG00000207113.1,-2.2089858093508083,0.037410066377771,,1.4270115212197552,,-0.7403451780523295,ENSG00000207113,ENSG00000207113,RNU6-16P
ENSG00000223896.2,-2.208810804958788,0.0374237952326563,,1.4268521718060512,,-1.3867565757756988,ENSG00000223896,ENSG00000223896,CCNJP2
ENSG00000269839.1,-2.2087661830012344,0.0374272964951299,,1.4268115423659724,,-1.3125862357065012,ENSG00000269839,ENSG00000269839,
ENSG00000212378.1,-2.2086099918030664,0.0374395543795718,,1.4266693290483747,,-1.178670276962627,ENSG00000212378,ENSG00000212378,LOC124900538
ENSG00000259494.1,-2.2086097667229474,0.0374395720464852,,1.4266691241142788,,-0.8445601040185708,ENSG00000259494,ENSG00000259494,MRPL46
ENSG00000228807.1,-2.208382176643175,0.0374574398404728,,1.4264619093193416,,-1.837017030433924,ENSG00000228807,ENSG00000228807,MRPS18CP6
ENSG00000221390.1,-2.2083041498080043,0.0374635674033138,,1.4263908700518997,,-1.3245943172564854,ENSG00000221390,ENSG00000221390,MIR1295A
ENSG00000233423.1,-2.208279287227159,0.0374655200895596,,1.426368234226748,,-0.7210173309854608,ENSG00000233423,ENSG00000233423,
ENSG00000279541.1,-2.208279287227159,0.0374655200895596,,1.426368234226748,,-0.7210173309854608,ENSG00000279541,ENSG00000279541,
ENSG00000174514.12,-2.208219155122223,0.0374702431962373,,1.42631348815944,,-1.3606357872700272,ENSG00000174514,ENSG00000174514,SLC60A1
ENSG00000146233.7,-2.2078579312041176,0.0374986270786948,,1.4259846326205994,,-0.8342858985142556,ENSG00000146233,ENSG00000146233,CYP39A1
ENSG00000185130.5,2.207610845690177,0.0375180535395118,,1.4257597011825565,,1.418640742262412,ENSG00000185130,ENSG00000185130,H2BC13
ENSG00000170390.15,-2.2070243550931345,0.0375642013954468,,1.4252258397068902,,-0.5167974370570853,ENSG00000170390,ENSG00000170390,DCLK2
ENSG00000214642.1,-2.20691093301222,0.037573131919038,,1.4251226026883983,,-1.3885853880092849,ENSG00000214642,ENSG00000214642,DEFB113
ENSG00000173933.19,-2.206628973997996,0.0375953408911911,,1.4248659729079889,,-1.1954049362312835,ENSG00000173933,ENSG00000173933,RBM4
ENSG00000103310.10,-2.2062806650938365,0.0376227924573685,,1.4245489731711165,,-0.8383864548522598,ENSG00000103310,ENSG00000103310,ZP2
ENSG00000244464.1,-2.2060348942536807,0.0376421735393217,,1.4243253074318136,,-0.6828079588505597,ENSG00000244464,ENSG00000244464,
ENSG00000223611.5,-2.205900340330283,0.0376527880734521,,1.4242028600984835,,-1.5117021081744066,ENSG00000223611,ENSG00000223611,SUPT20HL2
ENSG00000117281.15,-2.205795865341005,0.0376610316470312,,1.4241077875462167,,-0.945251119404254,ENSG00000117281,ENSG00000117281,CD160
ENSG00000160446.18,2.2057098051514417,0.0376678234344571,,1.4240294739755106,,1.0353632360145093,ENSG00000160446,ENSG00000160446,ZDHHC12
ENSG00000238083.7,-2.2050574889067307,0.0377193397258191,,1.4234359181601357,,-1.3378001037858562,ENSG00000238083,ENSG00000238083,LRRC37A2
ENSG00000225411.2,-2.20476066708289,0.0377428021935099,,1.423165859020039,,-0.739337735111562,ENSG00000225411,ENSG00000225411,
ENSG00000197728.9,2.2047074150918897,0.0377470129301616,,1.423117410108315,,0.3412056418192354,ENSG00000197728,ENSG00000197728,RPS26
ENSG00000251333.3,-2.204706815335715,0.0377470603564532,,1.4231168644502032,,-1.647774620739641,ENSG00000251333,ENSG00000251333,RTN3P1
ENSG00000113722.16,-2.203830920498801,0.0378163802513035,,1.4223200437648895,,-1.2047268898536805,ENSG00000113722,ENSG00000113722,CDX1
ENSG00000269296.1,-2.20342157121334,0.0378488164427232,,1.4219476966244369,,-0.734462603236365,ENSG00000269296,ENSG00000269296,
ENSG00000232472.1,-2.2031610724815303,0.0378694710800067,,1.4217107605944783,,-1.12640815272227,ENSG00000232472,ENSG00000232472,EEF1B2P3
ENSG00000174156.14,-2.202317543653056,0.0379364236116357,,1.4209436138517393,,-1.398317968902854,ENSG00000174156,ENSG00000174156,GSTA3
ENSG00000237860.1,-2.201178132838536,0.0380270312105754,,1.419907578853287,,-1.4046013133726365,ENSG00000237860,ENSG00000237860,SLC6A14P2
ENSG00000273374.1,-2.2010623721291536,0.0380362476363927,,1.4198023337743055,,-0.6933675360939776,ENSG00000273374,ENSG00000273374,
ENSG00000225674.1,-2.200847683779055,0.0380533456620151,,1.4196071539085091,,-1.0372834752136366,ENSG00000225674,ENSG00000225674,IPO7P2
ENSG00000223928.1,-2.200797379356002,0.0380573529708708,,1.419561421780013,,-1.3208202553390962,ENSG00000223928,ENSG00000223928,NUP35P1
ENSG00000233306.2,-2.2007891282092857,0.0380580103033232,,1.4195539206437229,,-1.9084793813188536,ENSG00000233306,ENSG00000233306,TRGV2
ENSG00000236348.1,-2.200612160244275,0.0380721110372846,,1.419393041587906,,-1.2307866360466708,ENSG00000236348,ENSG00000236348,PSMC1P10
ENSG00000261175.5,2.200605294651684,0.0380726581802398,,1.419386800288111,,0.9239077745938026,ENSG00000261175,ENSG00000261175,LINC02188
ENSG00000274391.4,-2.200400123888465,0.0380890122406294,,1.419200289717798,,-1.3882442618285855,ENSG00000274391,ENSG00000274391,TPTE
ENSG00000198822.10,-2.2002154815463784,0.038103735432757,,1.4190324469408448,,-0.9071584700421472,ENSG00000198822,ENSG00000198822,GRM3
ENSG00000091138.12,-2.200122373553392,0.0381111617250233,,1.4189478126270103,,-0.514171999344316,ENSG00000091138,ENSG00000091138,SLC26A3
ENSG00000241388.4,-2.199972628921289,0.038123108105802,,1.4188116993723046,,-0.9053131260950096,ENSG00000241388,ENSG00000241388,HNF1A-AS1
ENSG00000162383.11,-2.1998937404560777,0.038129403062602,,1.4187399937991665,,-1.0166944272162113,ENSG00000162383,ENSG00000162383,SLC1A7
ENSG00000203870.5,-2.199064009893947,0.0381956690290963,,1.4179858785385109,,-1.355831015599946,ENSG00000203870,ENSG00000203870,SMIM9
ENSG00000198046.11,-2.1988424004525142,0.0382133853911577,,1.4177844856936723,,-0.6466369520250344,ENSG00000198046,ENSG00000198046,ZNF667
ENSG00000155792.9,-2.1986539571690376,0.0382284561723693,,1.4176132402848998,,-0.7852289129743837,ENSG00000155792,ENSG00000155792,DEPTOR
ENSG00000183938.5,-2.1983646316385537,0.0382516055086016,,1.4173503317811276,,-1.418515554888989,ENSG00000183938,ENSG00000183938,TRBV21OR9-2
ENSG00000224172.1,-2.1983139091464503,0.0382556651936333,,1.4173042420750646,,-1.3452039557126427,ENSG00000224172,ENSG00000224172,
ENSG00000197766.7,-2.197368914385936,0.0383313713228173,,1.416445643378594,,-1.335994821888431,ENSG00000197766,ENSG00000197766,CFD
ENSG00000185666.14,-2.1972785674143065,0.038338616370903,,1.416363564731949,,-0.7870295953005618,ENSG00000185666,ENSG00000185666,SYN3
ENSG00000237461.1,-2.196897069540697,0.0383692228914778,,1.4160169966672211,,-0.6183630547404042,ENSG00000237461,ENSG00000237461,
ENSG00000250422.1,-2.196897069540697,0.0383692228914778,,1.4160169966672211,,-0.6183630547404042,ENSG00000250422,ENSG00000250422,
ENSG00000260747.1,-2.196707476760584,0.0383844416283281,,1.4158447726160686,,-1.3831484093837003,ENSG00000260747,ENSG00000260747,
ENSG00000106302.9,-2.195586007860911,0.0384745745574187,,1.414826173793741,,-0.8401392705872085,ENSG00000106302,ENSG00000106302,HYAL4
ENSG00000253472.1,-2.195544723183438,0.0384778962799068,,1.4147886803713148,,-0.8741943106760194,ENSG00000253472,ENSG00000253472,LOC100420127
ENSG00000165496.4,-2.195298339053241,0.0384977254937967,,1.4145649285349566,,-1.575000658177026,ENSG00000165496,ENSG00000165496,RPL10L
ENSG00000046774.9,-2.195129155296991,0.038511346912204,,1.4144112919119751,,-1.4561134834375122,ENSG00000046774,ENSG00000046774,MAGEC2
ENSG00000147180.16,-2.1948726257416333,0.0385320090925534,,1.4141783459036417,,-0.41688016161582,ENSG00000147180,ENSG00000147180,ZNF711
ENSG00000278890.1,-2.1946103050994856,0.0385531480984403,,1.413940153385801,,-0.5507484791032007,ENSG00000278890,ENSG00000278890,
ENSG00000131080.14,-2.1941467699009083,0.0385905275793332,,1.4135192840555275,,-1.094770290619348,ENSG00000131080,ENSG00000131080,EDA2R
ENSG00000270623.1,-2.1939412126738698,0.0386071142174023,,1.4133326595594955,,-1.1792139749235724,ENSG00000270623,ENSG00000270623,SPCS2P2
ENSG00000265750.1,-2.193913766231672,0.0386093293894282,,1.4133077416289976,,-1.0728883254653012,ENSG00000265750,ENSG00000265750,
ENSG00000124159.15,-2.193605245025334,0.038634237715195,,1.413027652316336,,-1.150500038589056,ENSG00000124159,ENSG00000124159,MATN4
ENSG00000198753.11,2.192816224122711,0.0386980051843561,,1.412311421538072,,1.172378687803412,ENSG00000198753,ENSG00000198753,PLXNB3
ENSG00000203279.3,-2.192599856104412,0.0387155083616713,,1.4121150337730657,,-1.4146711786619257,ENSG00000203279,ENSG00000203279,
ENSG00000231802.1,-2.192362229538561,0.0387347395169649,,1.4118993602271428,,-1.240336747975808,ENSG00000231802,ENSG00000231802,DNAJB6P3
ENSG00000188227.12,-2.192342766382672,0.0387363150564084,,1.4118816956144635,,-0.8869582065443593,ENSG00000188227,ENSG00000188227,ZNF793
ENSG00000254479.1,-2.192061659194498,0.0387590771117308,,1.4116265724379498,,-1.7266633436725374,ENSG00000254479,ENSG00000254479,SLC25A1P1
ENSG00000272894.5,-2.1917484608695914,0.0387844519411043,,1.411342341144788,,-0.7106231522506476,ENSG00000272894,ENSG00000272894,MIOS-DT
ENSG00000179094.14,-2.190395477212395,0.0388942414379425,,1.410114694223258,,-0.8290106573167413,ENSG00000179094,ENSG00000179094,PER1
ENSG00000227744.4,-2.190258930718807,0.0389053372843417,,1.40999081527751,,-0.7718099945618209,ENSG00000227744,ENSG00000227744,LINC01940
ENSG00000240281.2,2.1899317502378453,0.0389319358180792,,1.4096940012598005,,0.6550960008940585,ENSG00000240281,ENSG00000240281,
ENSG00000235818.3,-2.1897890093495,0.0389435452682555,,1.4095645145428892,,-0.7147811930441417,ENSG00000235818,ENSG00000235818,VN1R17P
ENSG00000236400.1,-2.189626363914747,0.0389567774214519,,1.409416975971193,,-0.7295740807823362,ENSG00000236400,ENSG00000236400,KRTAP21-4P
ENSG00000255455.2,-2.1894483804205835,0.0389712620786073,,1.4092555294164577,,-0.5145731728297583,ENSG00000255455,ENSG00000255455,
ENSG00000176571.11,-2.18942267995524,0.0389733540372668,,1.409232217322623,,-0.758300680819203,ENSG00000176571,ENSG00000176571,CNBD1
ENSG00000185475.9,2.189365922315004,0.0389779743385254,,1.4091807346504086,,0.9426856925269346,ENSG00000185475,ENSG00000185475,TMEM179B
ENSG00000175967.3,-2.189294926505013,0.0389837543823055,,1.4091163378966518,,-0.6730348206417457,ENSG00000175967,ENSG00000175967,LINC02880
ENSG00000147255.18,-2.1891142624588285,0.0389984664411769,,1.4089524706460503,,-0.5750230157083305,ENSG00000147255,ENSG00000147255,IGSF1
ENSG00000120253.13,-2.1890939941809022,0.0390001172662404,,1.4089340871272291,,-0.7925158614467205,ENSG00000120253,ENSG00000120253,NUP43
ENSG00000147872.9,-2.188641733912835,0.0390369697373504,,1.4085239020049531,,-0.8674341943275968,ENSG00000147872,ENSG00000147872,PLIN2
ENSG00000257494.1,-2.1884325836305734,0.0390540230242636,,1.4083342220364825,,-1.4959219465880895,ENSG00000257494,ENSG00000257494,
ENSG00000169903.6,-2.188287092563641,0.0390658897668519,,1.4082022797267748,,-1.118140197999293,ENSG00000169903,ENSG00000169903,TM4SF4
ENSG00000248802.1,-2.1882459973744366,0.0390692422202631,,1.408165012188314,,-0.6459578994837518,ENSG00000248802,ENSG00000248802,
ENSG00000279400.1,-2.1882459973744366,0.0390692422202631,,1.408165012188314,,-0.6459578994837518,ENSG00000279400,ENSG00000279400,
ENSG00000267723.1,-2.188245997374436,0.0390692422202632,,1.4081650121883136,,-0.6459578994837518,ENSG00000267723,ENSG00000267723,
ENSG00000254935.1,-2.188237793699427,0.0390699114888574,,1.4081575726488869,,-1.0869910742619635,ENSG00000254935,ENSG00000254935,
ENSG00000171049.8,-2.1882355703256158,0.0390700928769457,,1.4081555563744708,,-1.622830092883473,ENSG00000171049,ENSG00000171049,FPR2
ENSG00000196704.11,-2.188051399996936,0.039085120574152,,1.407988543944598,,-0.6972628798640635,ENSG00000196704,ENSG00000196704,AMZ2
ENSG00000164169.12,-2.187815669659597,0.0391043630329056,,1.4077747838981545,,-0.44887941092806,ENSG00000164169,ENSG00000164169,PRMT9
ENSG00000158488.15,-2.187798170080787,0.0391057918498476,,1.4077589156949886,,-1.0403729957458887,ENSG00000158488,ENSG00000158488,CD1E
ENSG00000230461.8,-2.18776596335764,0.0391084216087353,,1.4077297115459324,,-0.8958161137964274,ENSG00000230461,ENSG00000230461,PROX1-AS1
ENSG00000114744.8,-2.18759207599554,0.0391226227084996,,1.4075720386071096,,-0.6640171861212284,ENSG00000114744,ENSG00000114744,COMMD2
ENSG00000125520.13,2.1875817340878787,0.0391234674623996,,1.407562661219522,,1.052053122785012,ENSG00000125520,ENSG00000125520,SLC2A4RG
ENSG00000250145.1,-2.187563957613849,0.0391249195295801,,1.4075465426824345,,-0.9692380355361088,ENSG00000250145,ENSG00000250145,
